Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181113_0000062,ml 2.2,2018-11-13T13:58:37.5Z,38.72,13.98,"SICILY, ITALY",20,ROM
20181113_0000059,ml 2.0,2018-11-13T13:52:53.5Z,19.4,-155.28,"ISLAND OF HAWAII, HAWAII",0,NEIR
20181113_0000058,mb 5.0,2018-11-13T13:47:51.2Z,41.98,19.3,MONTENEGRO,2,EMSC
20181113_0000083,m 3.8,2018-11-13T13:35:40.0Z,16.82,-99.97,"OFFSHORE GUERRERO, MEXICO",2,UNM
20181113_0000056,md 2.3,2018-11-13T13:30:47.9Z,35.47,-121.06,OFFSHORE CENTRAL CALIFORNIA,0,NC
20181113_0000125,ml 3.3,2018-11-13T13:03:36.4Z,37.27,20.61,IONIAN SEA,9,THE
20181113_0000054,ml 3.1,2018-11-13T12:58:35.9Z,36.77,27.94,DODECANESE IS.-TURKEY BORDER REG,74,EMSC
20181113_0000098,ml 3.2,2018-11-13T12:57:12.3Z,37.52,20.59,IONIAN SEA,8,THE
20181113_0000097,ml 3.3,2018-11-13T12:47:31.9Z,37.67,20.49,IONIAN SEA,9,THE
20181113_0000053,ml 1.7,2018-11-13T12:41:18.1Z,47.4,7.45,SWITZERLAND,0,ZUR
20181113_0000124,ml 3.0,2018-11-13T12:40:14.3Z,37.63,20.68,IONIAN SEA,21,THE
20181113_0000052,ml 2.2,2018-11-13T12:37:30.7Z,19.4,-155.28,"ISLAND OF HAWAII, HAWAII",0,NEIR
20181113_0000085,m 3.8,2018-11-13T12:12:18.0Z,16.4,-95.67,"OAXACA, MEXICO",66,UNM
20181113_0000049,ml 2.4,2018-11-13T12:11:50.2Z,20,-155.58,"HAWAII REGION, HAWAII",39,NEIR
20181113_0000050,ml 3.1,2018-11-13T12:01:45.0Z,-20.28,-69.09,"TARAPACA, CHILE",95,GUC
20181113_0000047,md 2.2,2018-11-13T11:57:14.2Z,38.79,-122.76,NORTHERN CALIFORNIA,1,NC
20181113_0000086,m 3.3,2018-11-13T11:44:29.0Z,16.37,-98.06,"OAXACA, MEXICO",24,UNM
20181113_0000087,m 3.2,2018-11-13T11:41:34.0Z,16.22,-98.2,"OFFSHORE OAXACA, MEXICO",5,UNM
20181113_0000060,m 4.1,2018-11-13T11:39:00.0Z,-11.8,-75.09,CENTRAL PERU,11,LIM
20181113_0000088,m 3.1,2018-11-13T11:37:48.0Z,16.56,-98.5,"GUERRERO, MEXICO",5,UNM
20181113_0000044,ml 3.5,2018-11-13T11:20:30.3Z,37.62,57.07,NORTHEASTERN IRAN,8,EMSC
20181113_0000045,mb 4.1,2018-11-13T11:17:32.7Z,43.43,87.48,"NORTHERN XINJIANG, CHINA",1,NNC
20181113_0000043,ml 3.1,2018-11-13T11:02:45.0Z,-32.15,-70.06,"SAN JUAN, ARGENTINA",132,GUC
20181113_0000063,m 3.2,2018-11-13T11:00:30.0Z,8.55,-83.29,COSTA RICA,19,UCR
